id;date;details;status;payment_method;payment_date;payment_amount;code;order_id
1;2020-05-15T00:35:50;RAM Focused;PAID;CASH_ON_DELIVERY;2020-05-15T08:57:57;64379;Australia 1080p Intranet;1
2;2020-05-14T21:50:06;Unbranded national Marketing;ISSUED;CASH_ON_DELIVERY;2020-05-15T01:45:47;8068;Baby;2
3;2020-05-15T07:31:54;monitor;CANCELLED;CREDIT_CARD;2020-05-14T23:23:16;97394;Rubber synergy program;3
4;2020-05-14T20:05:56;EXE parse strategic;CANCELLED;PAYPAL;2020-05-15T00:11:06;2286;HTTP;4
5;2020-05-14T16:21:07;black Awesome;PAID;CASH_ON_DELIVERY;2020-05-14T16:23:01;49531;Agent SDD auxiliary;5
6;2020-05-15T02:53:41;Groves Intelligent Frozen Salad transmitting;ISSUED;CREDIT_CARD;2020-05-14T18:45:51;80897;Ergonomic Concrete Salad Alaska Colorado;6
7;2020-05-15T05:27:17;back up Toys;ISSUED;PAYPAL;2020-05-15T08:22:56;10756;Arizona Awesome Fresh Soap system;7
8;2020-05-15T01:59:27;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-05-15T01:48:30;50263;deploy;8
9;2020-05-14T19:49:25;Credit Card Account;CANCELLED;CREDIT_CARD;2020-05-15T06:12:34;308;payment Fantastic Fresh Soap;9
10;2020-05-15T06:13:48;bifurcated 6th generation Investment Account;PAID;CREDIT_CARD;2020-05-15T09:59:37;94911;Granite Rubber Pizza;10
