id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2020-05-14T17:24:00;payment unleash Jamaican Dollar;1
2;Rest;2020-05-15T12:40:30;Plains;2
3;Quality Plastic plum;2020-05-14T17:00:52;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2020-05-15T13:28:04;Architect SSL;4
5;zero tolerance;2020-05-15T10:24:23;user-facing CSS;5
6;ADP Ouguiya;2020-05-15T06:20:51;Garden;6
7;auxiliary;2020-05-15T14:36:51;functionalities Bedfordshire withdrawal;7
8;Data;2020-05-14T17:34:52;Viaduct hybrid;8
9;mesh;2020-05-15T16:00:31;human-resource Shoes Wooden;9
10;calculate value-added Metal;2020-05-15T13:59:25;Re-engineered withdrawal Ball;10
